Ind. No.,C/R,Sex,Status,Error,Age-mat.,Age-total,Age-final,Habitat,Date,Month,Year,Time of day,Behaviour,BM,SH,SCL,MCW,MaxCW,MPL,MaxPL,AbSL,AnSL,ANW,BL_L,BL_R,Scars / Damages,Ticks,Notes ,,,,,,,,,,,,
91,R,M,Adult,NO,,15-25,,Degraded forest+Pine forest,22/05/2021,May,2021,14:59:34,Burrowed,1125,88,177,142,149,,,,,,,,,0,,,,,,,,,,,,,
92,C,F,Adult,NO,,14,,NA,06/07/2019,June,2019,10:00-10:30,,1318,89,187,130,136,,,,,,,,,,,,,,,,,,,,,,
93,C,M,Adult,NO,,11,,Degraded forest,06/07/2019,June,2019,10:00-10:30,,1383,95,190,138,152,,,,,,,,,,,,,,,,,,,,,,
93,R,M,Adult,NO,,15-25,,Road,20/08/2020,August,2020,11:05,Feeding,1318,93,187,138,152,,,,,,,,Marginals,0,yellow smooth shell,,,,,,,,,,,,
93,R,M,Adult,NO,,15-25,,Degraded forest,23/05/2021,May,2021,17:17:53,Moving,1347,93,191,138,152,,,,,,,,,4,,,,,,,,,,,,,
94,C,M,Adult,NO,,11,,NA,06/07/2019,June,2019,10:30-11:00,,560,67,131,106,108,,,,,,,,,,,,,,,,,,,,,,
95,C,F,Adult,NO,,17,,NA,06/07/2019,June,2019,11:00-11:30,,1297,89,182,134,136,,,,,,,,,,,,,,,,,,,,,,
96,C,F,Adult,NO,,,,Meadow,08/08/2019,August,2019,07:26,,1756,102,199,149,145,,,,,,,,,,,,,,,,,,,,,,
96,R,F,Adult,NO,10,13,,Degraded forest,07/05/2021,May,2021,16:22:30,Resting in shade,1776,102,200,150,147,,,,,,,,,8,"1,2&3 vertebral asymmetrical, nuchal shortened",,,,,,,,,,,,
97,C,M,Adult,NO,,,,Meadow,08/08/2019,August,2019,07:25,,1182,90,180,134,147,,,,,,,,,,,,,,,,,,,,,,
98,C,M,Adult,NO,10,,,Degraded forest,08/08/2019,August,2019,09:10,,907,86,160,131,142,,,,,,,,,,,,,,,,,,,,,,
99,C,M,Adult,NO,10,10,,Degraded forest,08/08/2019,August,2019,09:20,,809,79,159,123,131,,,,,,,,,10,,,,,,,,,,,,,
100,C,F,Adult,NO,,10,10,Meadow,29/04/2020,April,2020,13:23,Mating,1097,87,172,122,134,,,,,,,,,0,,,,,,,,,,,,,
100,R,F,Adult,NO,,11,11,Degraded forest,10/05/2021,May,2021,10:58:28,Basking,1250,93,185,130,143,,,,,,,,,0,,,,,,,,,,,,,
101,C,M,Adult,NO,,10.-11.,11,Meadow,29/04/2020,April,2020,13:27,Mating,876,78,163,126,129,,,,,,,,,0,"Left, Costals, Extra scale",,,,,,,,,,,,
101,R,M,Adult,NO,10,12,12,Degraded forest,06/05/2021,May,2021,13:08:44,Resting in shade,885,81,169,129,134,,,,,,,,,0,6 vertebrals,,,,,,,,,,,,
102,C,M,Adult,NO,,11,,Meadow,29/04/2020,April,2020,13:37,Resting in shade,614,72,139,109,113,,,,,,,,"1mL&R, 10mR, 11mR",0,,,,,,,,,,,,,
103,C,M,Adult,NO,10,11,,Degraded forest,05/08/2020,May,2020,12:12,Resting in shade,955,84,159,126,133,,,,,,,,,0,,,,,,,,,,,,,
104,C,F,Adult,NO,,15-25,,Degraded forest,05/08/2020,May,2020,13:41,Burrowed,1404,93,180,141,140,,,,,,,,"II, III m R",0,,,,,,,,,,,,,
104,R,F,Adult,NO,,15-25,,Degraded forest,03/06/2021,June,2021,12:28:11,Resting in shade,1347,93,181,139,140,,,,,,,,,15,,,,,,,,,,,,,
105,C,F,Adult,NO,,>25,,Degraded forest,05/08/2020,May,2020,13:47,Burrowed,1755,103,205,155,160,,,,,,,,,0,,,,,,,,,,,,,
105,R,F,Adult,NO,,>25,,Degraded forest,10/05/2021,May,2021,16:01:32,Burrowed,1785,100,205,155,160,,,,,,,,,0,Last SH measurement might've been incorrect. 3 4 & 5 L marginal quite damaged.,,,,,,,,,,,,
105,R,F,Adult,NO,,15-25,,Meadow,26/05/2021,May,2021,12:45:21,Feeding,1903,101,204,155,160,,,,,,,,,15,3-5 L marginal brocken,,,,,,,,,,,,
106,C,M,Adult,NO,13,17,15-20,Meadow,06/10/2020,June,2020,16:22,Resting in shade,1026,90,163,132,139,,,,,,,,,0,,,,,,,,,,,,,
106,R,M,Adult,NO,10,15,15-20,Degraded forest,07/05/2021,May,2021,16:14:05,Resting in shade,950,84,164,132,139,,,,,,,,,0,,,,,,,,,,,,,
106,R,M,Adult,NO,10,16,15-20,Meadow,23/06/2021,June,2021,09:20:04,Basking,1037,86,165,131,140,,,,,,,,,45,,,,,,,,,,,,,
107,C,M,Adult,NO,10,10,10,Opening,06/10/2020,June,2020,16:54,Resting in shade,600,74,135,105,113,,,,,,,,IX mR,0,,,,,,,,,,,,,
107,R,M,Adult,NO,,11,11,Degraded forest,07/05/2021,May,2021,15:40:17,Resting in shade,630,78,142,110,118,,,,,,,,,0,,,,,,,,,,,,,
108,C,F,Adult,NO,12,>25,,Opening,06/10/2020,June,2020,17:12,Resting in shade,2300,119,219,167,168,,,,,,,,,0,,,,,,,,,,,,,
108,R,F,Adult,NO,,"15-25, >25",,Degraded forest,23/06/2021,June,2021,11:53:14,Mating,2226,116,221,165,167,,,,,,,,,10,Mating w M 200,,,,,,,,,,,,
109,C,M,Adult,NO,11,15,15,Opening,06/10/2020,June,2020,17:23,Resting in shade,847,80,151,120,127,,,,,,,,Carapace,0,,,,,,,,,,,,,
109,R,M,Adult,NO,11,17,16,Road,07/05/2021,May,2021,15:01:02,Moving,773,82,152,120,130,,,,,,,,,3,,,,,,,,,,,,,
110,C,F,Adult,NO,,15-25,,Degraded forest,07/07/2020,July,2020,09:07,Resting in shade,1720,NA,NA,NA,NA,,,,,,,,Carapace,0,,,,,,,,,,,,,
111,C,F,Immature,NO,,10,,Degraded forest,07/07/2020,July,2020,09:38,Resting in shade,586,NA,NA,NA,NA,,,,,,,,,0,,,,,,,,,,,,,
112,C,M,Adult,NO,,11,,Degraded forest,07/07/2020,July,2020,09:45,Resting in shade,708,NA,NA,NA,NA,,,,,,,,,0,,,,,,,,,,,,,
113,C,F,Adult,NO,,>25,,Degraded forest,07/07/2020,July,2020,09:47,Resting in shade,1648,NA,NA,NA,NA,,,,,,,,"Carapace, Hole",0,Yellow shell,,,,,,,,,,,,
